City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Valle Hermoso,MX,77.9,clear sky,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
210,Cam Ranh,VN,85.96,moderate rain,11.9214,109.1591,OYO 598 Peony Hotel
211,Mangrol,IN,82.72,few clouds,21.1167,70.1167,Hotel The Royal Honours
212,Xinzhi,CN,75.72,few clouds,36.4989,111.7047,Mingyue Hotel
213,Domoni,KM,79.74,scattered clouds,-12.2569,44.5319,Al Djadid
214,Manono,CD,80.22,broken clouds,-7.3,27.4167,Hotel hewa bora
215,Ormara,PK,80.74,few clouds,25.2088,64.6357,Kenara Colony House for Rent
216,Kutum,SD,76.53,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
218,Sanjwal,PK,88.43,clear sky,33.7608,72.4336,لبیک یارسول اللہ ہوٹل
219,Champasak,LA,83.28,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
220,Buala,SB,75.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
221,San Pedro,PH,88.27,few clouds,14.35,121.0167,Palines Apartment and Guesthouse
222,Taloqan,AF,83.91,clear sky,36.7361,69.5345,Saraisang street
223,Mecca,SA,87.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
224,Hami,CN,83.21,clear sky,42.8,93.45,Laoyutang Resort
225,Barra Do Corda,BR,75.6,clear sky,-5.5,-45.25,Belchior Palace Hotel
226,Kerema,PG,83.01,light rain,-7.9631,145.7785,Frena Lodge
228,Alta Floresta,BR,75.16,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
229,Oyama,JP,78.58,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
230,Ahuimanu,US,79.75,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
231,Nagua,DO,78.6,overcast clouds,19.3832,-69.8474,Hotel Cambri
232,Yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
233,Vanimo,PG,82.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
234,Tateyama,JP,76.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
235,Dhidhdhoo,MV,81.61,few clouds,6.8833,73.1,Dhidhoo beach
236,Naze,JP,79.72,broken clouds,28.3667,129.4833,Shishime Hotel
237,Aden,YE,88.0,few clouds,12.7794,45.0367,Sama Emirate Hotel
238,Ternate,ID,84.15,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
239,Batesville,US,80.94,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
240,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
241,Haines City,US,77.95,few clouds,28.1142,-81.6179,Stay Plus Inn
242,Huntsville,US,77.2,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
243,Behshahr,IR,76.95,clear sky,36.6923,53.5526,Abbas Abad Hotel & Restaurant
244,Sinnamary,GF,78.48,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
245,Pedernales,DO,80.69,overcast clouds,18.0384,-71.744,Hotel Costa Marina
246,Kuching,MY,89.82,scattered clouds,1.55,110.3333,Hilton Kuching
247,Surab,PK,78.69,clear sky,28.4914,66.2585,Bismillah Hotel
248,Elat,IL,76.84,clear sky,29.5581,34.9482,Club Hotel Eilat
250,Boyolangu,ID,81.41,overcast clouds,-8.1181,111.8935,Yos ega cv
251,Uribia,CO,80.37,broken clouds,11.7139,-72.266,Hotel Uribia
252,Soe,ID,86.4,scattered clouds,-9.8607,124.284,Dena Hotel
253,Jingdezhen,CN,75.16,overcast clouds,29.2947,117.2079,Garden Hotel
254,Binga,ZW,77.59,broken clouds,-17.6203,27.3414,Lakeview Inn Binga
256,Barra,BR,76.55,scattered clouds,-11.0894,-43.1417,Pousada Bahia
257,Bilma,NE,89.06,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
258,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
259,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
260,Baghdad,IQ,82.31,broken clouds,33.3406,44.4009,Baghdad Hotel
261,Nabire,ID,82.02,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
262,Labelle,US,75.97,few clouds,26.7617,-81.4384,Port LaBelle Inn
263,Biak,ID,83.5,overcast clouds,-0.9131,122.8766,Penginapan Kim
264,Pathein,MM,87.42,overcast clouds,16.7833,94.7333,Pathein Hotel
265,Acarau,BR,76.87,broken clouds,-2.8856,-40.12,castelo pizzaria
266,Bowen,AU,77.7,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
267,Tura,IN,85.3,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
268,Americus,US,76.14,broken clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
269,Mahajanga,MG,80.62,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
270,Dharchula,IN,82.44,overcast clouds,29.85,80.5333,Mahara Hotel
272,Makat,KZ,79.02,clear sky,47.6469,53.3463,Umit
273,Oytal,KZ,79.41,broken clouds,42.9057,73.2697,Sanatorium Ak-Niet
274,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
275,Khandbari,NP,82.69,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
276,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
277,Cuamba,MZ,76.35,scattered clouds,-14.8031,36.5372,Hotel Vision
278,Carupano,VE,78.76,overcast clouds,10.6678,-63.2585,Hotel La dorada
279,Gashua,NG,78.28,overcast clouds,12.871,11.0482,Forte Oil - Old Lorry Park
282,Akyab,MM,84.42,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
283,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
284,San Antonio,US,81.05,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
285,Beruwala,LK,83.32,few clouds,6.4788,79.9828,The Palms Hotel
286,Gigmoto,PH,83.93,overcast clouds,13.7796,124.39,Cj's Travellers Inn
287,Shubarkuduk,KZ,75.65,clear sky,49.1447,56.4872,Sirius
288,Puri,IN,84.72,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
289,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
290,Areni,AM,81.21,clear sky,39.7191,45.1799,Park-Hotel Khoren's Lake
