City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-09-19 18:09:12,-46.2817,169.8464,47.17,84,66,4.12
68,Ayame,CI,2022-09-19 18:09:12,5.6083,-3.1563,74.37,91,100,5.19
69,Kyra,RU,2022-09-19 18:09:13,49.5776,111.9753,37.51,73,20,4.29
70,Luderitz,NA,2022-09-19 18:09:13,-26.6481,15.1594,56.37,63,0,30.06
71,Sola,VU,2022-09-19 18:09:14,-13.8833,167.55,79.59,80,60,23.98
72,Yellowknife,CA,2022-09-19 18:05:04,62.456,-114.3525,53.56,66,100,8.99
73,Bayir,TR,2022-09-19 18:09:14,37.2687,28.2167,72.12,57,0,5.06
74,Kaniama,CD,2022-09-19 18:09:15,-7.5667,24.1833,76.21,62,96,2.95
75,Muisne,EC,2022-09-19 18:09:15,0.6,-80.0333,78.15,74,100,10.0
76,El Sauzal,MX,2022-09-19 18:04:18,31.9,-116.6833,73.42,71,0,7.67
77,Huarmey,PE,2022-09-19 18:09:16,-10.0681,-78.1522,68.88,69,28,12.06
78,Kavieng,PG,2022-09-19 18:09:16,-2.5744,150.7967,80.31,78,95,9.53
79,Ballina,AU,2022-09-19 18:09:17,-28.8667,153.5667,53.78,66,0,8.75
80,Berasia,IN,2022-09-19 18:09:17,23.6333,77.4333,74.95,77,36,3.98
81,Baruun-Urt,MN,2022-09-19 18:09:18,46.6806,113.2792,39.58,39,0,8.75
82,Ahipara,NZ,2022-09-19 18:09:18,-35.1667,173.1667,58.17,97,100,4.07
83,Cherskiy,RU,2022-09-19 18:09:19,68.75,161.3,29.44,76,89,6.96
84,Arraial Do Cabo,BR,2022-09-19 18:09:19,-22.9661,-42.0278,71.46,64,0,16.11
85,Saskylakh,RU,2022-09-19 18:09:20,71.9167,114.0833,28.29,94,93,7.99
86,Singaraja,ID,2022-09-19 18:09:20,-8.112,115.0882,76.69,80,51,9.22
87,Liseleje,DK,2022-09-19 18:09:21,56.0053,11.9483,55.18,74,22,8.01
88,Karratha,AU,2022-09-19 18:09:22,-20.7377,116.8463,67.08,34,2,18.3
89,Prieska,ZA,2022-09-19 18:09:22,-29.6641,22.7474,50.54,64,88,22.5
90,Clyde River,CA,2022-09-19 18:07:41,70.4692,-68.5914,35.06,91,100,10.09
91,Buritizeiro,BR,2022-09-19 18:09:23,-17.3511,-44.9622,95.14,22,1,3.11
92,Reyes,BO,2022-09-19 18:09:23,-14.3167,-67.3833,95.16,52,20,16.11
93,Kruisfontein,ZA,2022-09-19 18:09:26,-34.0033,24.7314,52.18,73,97,9.42
94,Apiai,BR,2022-09-19 18:09:26,-24.5094,-48.8425,71.1,49,100,4.09
95,Aklavik,CA,2022-09-19 18:09:27,68.2191,-135.0107,47.89,62,40,2.55
96,Sitka,US,2022-09-19 18:09:28,57.0531,-135.33,56.14,70,34,4.32
97,Fort Nelson,CA,2022-09-19 18:09:29,58.8053,-122.7002,52.3,60,49,4.38
98,Chuy,UY,2022-09-19 18:09:30,-33.6971,-53.4616,66.88,70,100,3.58
99,Hasaki,JP,2022-09-19 18:09:30,35.7333,140.8333,81.28,86,93,34.49
100,Paramirim,BR,2022-09-19 18:09:31,-13.4425,-42.2389,88.34,32,58,7.47
101,Kangaatsiaq,GL,2022-09-19 18:09:31,68.3065,-53.4641,39.34,85,21,6.46
102,Vredendal,ZA,2022-09-19 18:09:32,-31.6683,18.5012,54.63,77,1,19.08
103,Yakovlevka,RU,2022-09-19 18:09:32,44.425,133.4772,39.43,53,30,10.25
104,Longyearbyen,SJ,2022-09-19 18:09:32,78.2186,15.6401,28.24,69,75,8.05
105,Tromso,NO,2022-09-19 18:04:41,69.6496,18.957,41.02,75,40,10.36
106,Knin,HR,2022-09-19 18:09:33,44.0439,16.2,60.13,87,41,7.58
107,Kovdor,RU,2022-09-19 18:09:34,67.5662,30.4758,44.02,97,100,9.93
108,Bethel,US,2022-09-19 18:07:58,41.3712,-73.414,84.85,56,40,11.5
109,Batagay,RU,2022-09-19 18:09:34,67.6333,134.6333,20.08,96,42,0.74
110,Ponta Do Sol,PT,2022-09-19 18:09:35,32.6667,-17.1,76.01,83,59,2.44
111,Onega,RU,2022-09-19 18:09:35,63.9061,38.1404,51.03,92,100,15.93
112,Rundu,NA,2022-09-19 18:09:36,-17.9333,19.7667,77.47,16,1,4.61
113,Nikolskoye,RU,2022-09-19 18:09:36,59.7035,30.7861,49.91,91,100,15.7
114,Tuatapere,NZ,2022-09-19 18:09:36,-46.1333,167.6833,46.65,91,97,5.32
115,Waipawa,NZ,2022-09-19 18:05:53,-41.4122,175.5153,52.34,89,71,6.49
116,Kuala Lipis,MY,2022-09-19 18:09:37,4.1842,102.0468,71.67,98,100,1.05
117,Lorengau,PG,2022-09-19 18:09:38,-2.0226,147.2712,80.71,81,55,7.78
118,Havre-Saint-Pierre,CA,2022-09-19 18:09:38,50.2334,-63.5986,54.5,47,73,6.93
119,Adamas,GR,2022-09-19 18:09:39,36.7333,24.4333,73.92,61,6,1.45
120,Awbari,LY,2022-09-19 18:09:39,26.5921,12.7805,91.08,11,0,6.51
121,Tasiilaq,GL,2022-09-19 18:09:40,65.6145,-37.6368,42.96,96,100,0.31
122,Seoul,KR,2022-09-19 18:09:40,37.5683,126.9778,65.64,60,0,1.41
123,Felanitx,ES,2022-09-19 18:09:40,39.4696,3.1483,77.52,49,0,8.55
124,Chunskiy,RU,2022-09-19 18:09:41,56.0815,99.6342,46.83,90,100,11.36
125,Zhuanghe,CN,2022-09-19 18:09:41,39.7008,122.9911,52.23,57,0,8.37
126,Margate,GB,2022-09-19 18:09:42,51.3813,1.3862,60.69,64,54,4.0
127,Sosua,DO,2022-09-19 18:09:43,19.7667,-70.5167,75.18,100,100,25.32
128,Cabiraoan,PH,2022-09-19 18:09:43,18.3238,122.086,76.48,89,100,2.48
129,Muros,ES,2022-09-19 18:09:44,42.7762,-9.0603,73.17,67,3,1.43
130,Davila,PH,2022-09-19 18:09:44,18.4726,120.5763,76.98,80,100,7.47
131,Nemuro,JP,2022-09-19 18:09:45,43.3236,145.575,68.59,96,100,29.75
132,Tineo,ES,2022-09-19 18:09:45,43.3376,-6.4145,61.23,73,10,4.18
133,Geraldton,AU,2022-09-19 18:09:46,-28.7667,114.6,55.81,76,100,3.44
134,Chokurdakh,RU,2022-09-19 18:09:46,70.6333,147.9167,33.73,66,100,14.81
135,La Union,PE,2022-09-19 18:09:47,-5.4,-80.75,81.81,48,63,7.94
136,Georgetown,MY,2022-09-19 18:09:26,5.4112,100.3354,82.89,83,20,0.0
137,Bluff,NZ,2022-09-19 18:09:47,-46.6,168.3333,46.8,85,97,7.74
