City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Tasiilaq,GL,65.6145,-37.6368,34.47,99,100,1.41,snow
69,Obo,CF,5.3998,26.4869,72.19,91,89,1.5,overcast clouds
70,Vangaindrano,MG,-23.35,47.6,69.42,83,88,7.54,light rain
71,Dikson,RU,73.5069,80.5464,31.03,73,100,30.98,overcast clouds
72,Guerrero Negro,MX,27.9769,-114.0611,71.65,78,56,10.31,broken clouds
73,Bluff,NZ,-46.6,168.3333,46.8,77,32,6.53,scattered clouds
74,Moissala,TD,8.3404,17.7663,70.77,94,47,0.94,scattered clouds
75,Atuona,PF,-9.8,-139.0333,76.39,80,13,21.34,light rain
76,Yellowknife,CA,62.456,-114.3525,45.12,93,20,6.91,few clouds
77,Cabo San Lucas,MX,22.8909,-109.9124,79.52,88,75,1.99,broken clouds
78,Phangnga,TH,8.4509,98.5298,86.04,77,100,5.08,overcast clouds
79,Saint George,US,37.1041,-113.5841,77.95,31,0,9.22,clear sky
80,Aswan,EG,24.0934,32.907,81.7,28,0,9.22,clear sky
81,Kapaa,US,22.0752,-159.319,79.12,81,75,12.66,broken clouds
82,Klaksvik,FO,62.2266,-6.589,54.52,98,100,19.04,overcast clouds
83,Buraydah,SA,26.326,43.975,86.45,14,40,13.58,scattered clouds
84,Korla,CN,41.7597,86.1469,83.93,14,2,9.31,clear sky
85,Camabatela,AO,-8.1881,15.375,61.97,92,98,4.27,overcast clouds
86,Dolores,AR,-36.3132,-57.6792,47.16,83,100,4.54,moderate rain
87,Port Hedland,AU,-20.3167,118.5667,87.85,15,0,14.97,clear sky
88,Bourail,NC,-21.5667,165.4833,76.48,72,5,10.98,clear sky
89,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,0.0,light rain
90,Praxedis Guerrero,MX,31.3667,-106.0167,80.2,35,5,7.78,clear sky
91,Linguere,SN,15.3953,-15.1193,78.26,76,97,7.16,overcast clouds
92,Pevek,RU,69.7008,170.3133,40.46,54,100,12.88,overcast clouds
93,Almora,IN,29.6167,79.6667,79.21,56,81,2.26,broken clouds
94,General Roca,AR,-39.0333,-67.5833,44.62,47,18,12.62,few clouds
95,Saskatoon,CA,52.1168,-106.6345,47.16,71,0,6.91,clear sky
96,Ribeira Grande,PT,38.5167,-28.7,74.07,80,31,6.46,scattered clouds
97,Upernavik,GL,72.7868,-56.1549,33.82,87,100,12.41,overcast clouds
98,Uchaly,RU,54.2996,59.4521,68.94,28,73,3.56,broken clouds
99,Peoria,US,40.7667,-89.7668,80.55,70,0,5.75,clear sky
100,New Norfolk,AU,-42.7826,147.0587,64.92,50,80,1.01,broken clouds
101,Berdigestyakh,RU,62.0989,126.6992,40.8,49,47,11.34,scattered clouds
102,Taksimo,RU,56.3444,114.8794,50.41,58,89,4.09,light rain
103,Marsh Harbour,BS,26.5412,-77.0636,83.41,72,5,13.58,clear sky
104,Ahipara,NZ,-35.1667,173.1667,57.43,83,0,6.2,clear sky
